2025-07-06 15:54:35 - ModbusReader - INFO - 風速: 0.1 m/s, 風級: 0, 風向角度: 148.0, 風向: 南南東
2025-07-06 15:55:06 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 75.0, 風向: 東北東
2025-07-06 15:55:07 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 75.0, 風向: 東北東
2025-07-06 15:55:37 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 188.0, 風向: 南
2025-07-06 15:55:38 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 188.0, 風向: 南
2025-07-06 15:56:08 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 183.0, 風向: 南
2025-07-06 15:56:09 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 183.0, 風向: 南
2025-07-06 15:56:40 - ModbusReader - INFO - 風速: 0.9 m/s, 風級: 1, 風向角度: 137.4, 風向: 東南
2025-07-06 15:56:40 - ModbusReader - INFO - 風速: 0.9 m/s, 風級: 1, 風向角度: 137.4, 風向: 東南
2025-07-06 15:57:11 - ModbusReader - INFO - 風速: 0.8 m/s, 風級: 1, 風向角度: 161.1, 風向: 南南東
2025-07-06 15:57:11 - ModbusReader - INFO - 風速: 0.4 m/s, 風級: 1, 風向角度: 139.5, 風向: 東南
